Country Name,Country Code,year,mmr
"Egypt, Arab Rep.",EGY,2023,17.0
"Iran, Islamic Rep.",IRN,2023,16.0
China,CHN,2023,16.0
West Bank and Gaza,PSE,2023,16.0
North America,NAC,2023,16.0
Uruguay,URY,2023,15.0
Turkiye,TUR,2023,15.0
Portugal,PRT,2023,15.0
Ukraine,UKR,2023,15.0
Lebanon,LBN,2023,15.0
Tajikistan,TJK,2023,14.0
Europe & Central Asia (IDA & IBRD countries),TEC,2023,14.0
Cyprus,CYP,2023,14.0
Oman,OMN,2023,13.0
Romania,ROU,2023,12.0
Hungary,HUN,2023,12.0
Canada,CAN,2023,12.0
Andorra,AND,2023,11.0
Serbia,SRB,2023,11.0
Luxembourg,LUX,2023,11.0
Puerto Rico (US),PRI,2023,11.0
Europe & Central Asia,ECS,2023,11.0
Post-demographic dividend,PST,2023,10.0
Chile,CHL,2023,10.0
Kazakhstan,KAZ,2023,10.0
High income,HIC,2023,10.0
Russian Federation,RUS,2023,9.0
United Kingdom,GBR,2023,8.0
Finland,FIN,2023,8.0
San Marino,SMR,2023,8.0
Malta,MLT,2023,8.0
Lithuania,LTU,2023,8.0
Kuwait,KWT,2023,8.0
Albania,ALB,2023,7.0
France,FRA,2023,7.0
New Zealand,NZL,2023,7.0
Saudi Arabia,SAU,2023,7.0
Italy,ITA,2023,6.0
Central Europe and the Baltics,CEB,2023,6.0
Bosnia and Herzegovina,BIH,2023,6.0
Austria,AUT,2023,6.0
Singapore,SGP,2023,6.0
Montenegro,MNE,2023,6.0
Bulgaria,BGR,2023,6.0
Estonia,EST,2023,5.0
Euro area,EMU,2023,5.0
Switzerland,CHE,2023,5.0
Monaco,MCO,2023,5.0
Turkmenistan,TKM,2023,5.0
European Union,EUU,2023,5.0
Greece,GRC,2023,5.0
Slovak Republic,SVK,2023,4.0
Ireland,IRL,2023,4.0
Denmark,DNK,2023,4.0
"Korea, Rep.",KOR,2023,4.0
Belgium,BEL,2023,4.0
Germany,DEU,2023,4.0
Qatar,QAT,2023,4.0
Sweden,SWE,2023,4.0
Netherlands,NLD,2023,4.0
Czechia,CZE,2023,3.0
Spain,ESP,2023,3.0
United Arab Emirates,ARE,2023,3.0
Iceland,ISL,2023,3.0
Croatia,HRV,2023,3.0
North Macedonia,MKD,2023,3.0
Slovenia,SVN,2023,3.0
Japan,JPN,2023,3.0
Australia,AUS,2023,2.0
Poland,POL,2023,2.0
Israel,ISR,2023,2.0
Belarus,BLR,2023,1.0
Norway,NOR,2023,1.0
